Student ID,Attendance_Pct,CA_Score,Exam_Score,Total_Score,Study_Hours_Week,Class_Participation,Previous_GPA,Academic_Momentum,Performance Class
STU0030,93.7,37.1,52.3,89.4,14.1,5,3.39,0.04,Excellent
STU0020,91.8,33.6,56.3,89.9,23.3,4,3.58,0.11,Excellent
STU0144,60.3,24.0,43.8,67.8,7.9,3,1.94,-0.6,Average
STU0087,64.4,20.5,29.2,49.7,5.7,3,2.13,-0.25,Average
STU0115,71.3,22.3,37.5,59.8,12.9,2,2.33,0.01,Average
STU0174,54.8,15.7,25.8,41.5,7.0,2,1.32,-0.21,Poor
STU0006,86.8,37.2,57.1,94.30000000000001,21.7,4,4.06,0.5,Excellent
STU0127,66.7,14.7,32.4,47.099999999999994,7.8,3,1.94,0.13,Average
STU0118,77.5,30.0,39.6,69.6,5.3,3,2.57,-0.0,Average
STU0074,82.7,25.9,39.7,65.6,6.7,4,3.24,-0.11,Good
STU0141,80.9,23.9,45.6,69.5,10.2,2,1.71,-0.47,Average
STU0099,56.2,21.9,31.3,53.2,5.8,2,2.43,0.18,Average
STU0173,59.6,29.2,21.2,50.4,4.2,2,0.9,-0.54,Poor
STU0097,73.3,17.5,38.4,55.9,9.1,5,2.31,-0.18,Average
STU0170,59.4,14.3,31.2,45.5,5.0,2,0.74,-0.77,Poor
STU0098,71.1,25.9,40.8,66.69999999999999,8.4,3,1.89,-0.32,Average
STU0032,90.4,34.0,58.9,92.9,21.3,5,3.63,0.17,Excellent
STU0013,92.3,35.7,53.9,89.6,20.1,4,3.56,0.25,Excellent
STU0036,72.3,30.7,35.7,66.4,14.6,3,3.38,0.07,Good
STU0120,51.1,22.3,32.5,54.8,9.7,3,2.43,-0.24,Average
STU0043,90.4,33.5,43.1,76.6,17.3,5,2.88,0.16,Good
STU0190,43.9,14.3,14.3,28.6,3.1,1,1.38,-0.68,Fail
STU0091,71.6,17.2,36.5,53.7,8.8,4,2.56,0.39,Average
STU0137,72.3,20.4,37.4,57.8,9.1,4,2.53,0.1,Average
STU0052,78.4,31.8,47.9,79.7,4.7,3,3.01,0.17,Good
STU0128,60.2,20.1,41.3,61.4,9.7,3,2.36,-0.06,Average
STU0163,50.0,19.8,30.0,49.8,5.1,2,1.45,0.21,Poor
STU0042,82.0,23.9,50.2,74.1,14.8,4,3.37,0.21,Good
STU0119,60.7,22.2,35.1,57.3,8.0,2,2.31,-0.19,Average
STU0114,63.7,21.9,27.7,49.599999999999994,10.1,3,2.17,0.12,Average
STU0027,94.1,34.0,51.0,85.0,14.5,5,4.08,-0.44,Excellent
STU0140,65.3,26.6,45.4,72.0,1.0,2,0.94,0.01,Average
STU0101,60.8,27.1,39.2,66.30000000000001,6.8,3,2.1,-0.18,Average
STU0112,68.2,26.5,42.9,69.4,5.7,2,2.05,-0.56,Average
STU0003,95.0,32.5,52.2,84.7,18.6,4,3.83,0.21,Excellent
STU0078,80.3,31.2,48.6,79.8,9.7,4,3.44,-0.07,Good
STU0047,82.6,28.7,47.2,75.9,13.5,4,3.83,-0.05,Good
STU0188,44.6,10.9,22.2,33.1,0.0,1,1.53,-0.72,Fail
STU0192,52.5,9.2,20.0,29.2,0.4,2,1.33,-0.2,Fail
STU0086,65.0,25.3,30.9,56.2,9.6,2,2.82,0.31,Average
STU0162,55.6,13.7,30.1,43.8,5.1,1,1.52,-0.6,Poor
STU0037,73.4,31.2,43.0,74.2,17.0,4,2.55,0.14,Good
STU0191,53.4,11.7,10.1,21.799999999999997,0.0,1,0.39,-0.63,Fail
STU0062,81.9,29.2,52.6,81.8,10.7,3,2.83,0.09,Good
STU0023,96.9,39.5,53.7,93.2,15.2,5,3.72,0.29,Excellent
STU0142,66.8,26.8,43.8,70.6,13.7,2,2.58,0.33,Average
STU0102,69.6,25.1,37.3,62.4,5.2,3,2.56,-0.13,Average
STU0034,88.7,37.6,57.2,94.80000000000001,28.0,4,3.62,-0.24,Excellent
STU0012,95.1,37.6,53.0,90.6,20.9,4,3.84,0.27,Excellent
STU0195,31.8,12.0,18.8,30.8,2.6,2,0.99,-0.87,Fail
STU0160,62.4,15.4,33.2,48.6,4.7,2,1.54,0.17,Poor
STU0007,92.5,36.6,53.7,90.30000000000001,21.0,4,3.84,0.36,Excellent
STU0028,93.5,35.5,52.0,87.5,22.5,5,3.82,0.15,Excellent
STU0121,79.3,25.3,37.1,62.400000000000006,8.4,3,2.4,0.16,Average
STU0005,84.2,37.0,55.4,92.4,13.1,4,3.86,0.1,Excellent
STU0033,90.0,33.6,53.9,87.5,23.4,4,3.56,-0.33,Excellent
STU0143,79.7,19.9,38.3,58.199999999999996,5.6,3,2.59,-0.25,Average
STU0146,45.8,13.0,25.0,38.0,5.9,2,2.41,-0.14,Poor
STU0110,78.2,23.3,25.8,49.1,9.1,3,1.65,0.03,Average
STU0145,72.1,23.2,37.1,60.3,6.7,3,2.12,-0.41,Average
STU0011,95.5,35.7,56.4,92.1,17.9,5,4.11,0.13,Excellent
STU0063,79.4,34.7,50.3,85.0,11.6,4,3.5,0.15,Good
STU0113,69.9,29.0,31.9,60.9,10.0,3,2.45,-0.03,Average
STU0147,54.4,17.2,20.0,37.2,5.0,2,2.2,-0.08,Poor
STU0167,61.9,13.5,20.2,33.7,0.4,2,1.6,-0.42,Poor
STU0001,93.2,38.4,51.2,89.6,19.2,5,3.83,0.47,Excellent
STU0199,41.6,6.4,8.6,15.0,6.1,1,1.12,-0.38,Fail
STU0154,58.9,18.5,27.9,46.4,4.5,1,2.39,-0.27,Poor
STU0071,82.9,36.0,46.5,82.5,9.8,4,2.99,-0.38,Good
STU0124,54.4,15.0,47.2,62.2,7.5,3,3.06,0.29,Average
STU0065,89.4,37.3,48.8,86.1,10.4,4,3.52,0.14,Good
STU0045,78.5,29.8,51.3,81.1,16.1,4,2.21,0.08,Good
STU0164,57.9,23.8,29.6,53.400000000000006,4.8,1,2.71,-0.46,Poor
STU0029,93.7,36.8,56.2,93.0,19.1,5,3.93,-0.12,Excellent
STU0041,77.8,36.9,47.8,84.69999999999999,13.3,4,3.51,0.18,Good
STU0109,63.7,25.6,28.9,54.5,12.1,2,2.95,-0.53,Average
STU0156,51.1,17.4,33.1,50.5,3.2,1,1.27,-0.54,Poor
STU0157,36.6,23.8,34.9,58.7,4.5,3,1.61,-0.29,Poor
STU0026,90.6,30.0,50.7,80.7,18.4,4,3.87,0.0,Excellent
STU0024,91.4,32.4,54.8,87.19999999999999,17.4,4,3.8,0.56,Excellent
STU0185,37.5,11.2,14.7,25.9,2.3,1,0.85,-0.85,Fail
STU0148,51.8,18.4,19.3,37.7,3.5,3,1.7,-0.47,Poor
STU0082,80.9,31.2,46.3,77.5,15.3,4,2.85,0.15,Good
STU0040,73.0,31.3,53.4,84.7,11.2,4,2.65,0.23,Good
STU0169,60.4,11.6,33.5,45.1,3.9,2,1.51,-0.35,Poor
STU0048,77.7,35.2,47.4,82.6,17.3,3,3.23,-0.11,Good
STU0095,63.5,23.7,32.4,56.099999999999994,9.0,3,2.15,-0.11,Average
STU0155,37.1,19.8,23.7,43.5,0.8,1,1.38,-0.2,Poor
STU0044,74.1,28.7,50.1,78.8,12.4,5,2.65,0.51,Good
STU0139,69.2,23.1,30.6,53.7,12.6,1,2.55,0.13,Average
STU0004,95.8,32.5,56.5,89.0,23.4,5,3.78,0.05,Excellent
STU0106,59.0,25.4,37.8,63.199999999999996,8.6,3,2.86,-0.41,Average
STU0054,76.7,31.8,40.7,72.5,17.0,3,3.07,-0.05,Good
STU0134,69.2,23.8,40.2,64.0,2.7,2,2.88,0.09,Average
STU0181,48.0,15.8,16.3,32.1,0.9,1,0.85,-0.25,Fail
STU0179,46.4,18.2,28.8,47.0,3.9,2,2.11,0.22,Poor
STU0186,36.8,12.0,3.6,15.6,3.5,2,1.15,-0.48,Fail
STU0050,71.8,36.9,45.3,82.19999999999999,8.8,4,3.24,-0.08,Good
STU0081,78.5,20.8,34.4,55.2,13.2,4,2.59,-0.14,Good
STU0035,94.5,34.4,52.2,86.6,31.7,4,3.73,0.84,Excellent
STU0008,90.7,33.0,55.5,88.5,17.6,5,3.72,0.6,Excellent
STU0111,64.9,27.3,42.0,69.3,6.5,2,2.27,0.04,Average
STU0092,64.0,23.9,42.6,66.5,8.8,3,2.44,-0.06,Average
STU0084,64.6,31.7,48.3,80.0,19.3,4,3.05,-0.23,Good
STU0177,49.7,17.4,32.7,50.1,6.9,2,2.32,-0.07,Poor
STU0182,39.0,2.3,5.6,7.8999999999999995,1.2,1,1.37,-1.07,Fail
STU0090,55.6,22.7,31.9,54.599999999999994,5.1,3,1.79,0.02,Average
STU0009,91.9,35.7,56.9,92.6,14.2,5,4.02,0.15,Excellent
STU0014,96.5,37.0,53.9,90.9,26.4,4,3.53,-0.13,Excellent
STU0060,80.0,25.3,50.2,75.5,19.4,3,3.59,0.14,Good
STU0172,61.8,23.3,25.6,48.900000000000006,5.9,3,1.08,0.16,Poor
STU0132,72.9,23.0,40.2,63.2,13.3,3,2.75,-0.32,Average
STU0018,88.2,30.6,55.0,85.6,20.9,5,3.72,0.76,Excellent
STU0073,85.6,27.2,38.0,65.2,13.5,4,2.97,0.04,Good
STU0176,47.1,19.0,27.4,46.4,5.4,1,1.78,-0.49,Poor
STU0135,65.6,28.2,38.7,66.9,3.4,2,2.52,-0.1,Average
STU0168,49.5,17.1,23.0,40.1,1.0,2,1.73,-0.84,Poor
STU0184,33.5,14.2,19.8,34.0,0.0,1,1.34,-0.53,Fail
STU0064,92.6,33.0,50.2,83.2,8.1,4,3.04,-0.08,Good
STU0055,82.8,33.3,45.4,78.69999999999999,12.9,3,3.34,0.28,Good
STU0108,69.7,25.7,41.0,66.7,12.2,3,2.61,-0.22,Average
STU0051,78.6,34.7,45.2,79.9,8.1,4,2.63,0.09,Good
STU0197,32.0,4.7,15.0,19.7,2.7,1,1.22,-0.38,Fail
STU0059,80.3,34.0,47.0,81.0,13.7,4,3.37,0.21,Good
STU0049,79.2,32.3,41.7,74.0,6.0,4,2.93,-0.15,Good
STU0089,69.7,28.9,35.2,64.1,9.2,4,2.59,-0.1,Average
STU0022,89.3,34.2,54.7,88.9,25.9,4,3.93,0.02,Excellent
STU0058,82.1,27.2,41.9,69.1,19.3,5,2.89,-0.03,Good
STU0161,63.5,17.8,32.7,50.5,7.6,1,1.53,0.08,Poor
STU0193,34.3,9.4,12.6,22.0,3.3,1,1.16,-0.61,Fail
STU0130,71.7,23.2,39.2,62.400000000000006,5.6,3,2.75,0.15,Average
STU0038,91.0,28.5,49.0,77.5,14.9,4,3.0,-0.1,Good
STU0158,54.3,16.2,29.5,45.7,3.6,3,1.97,-0.13,Poor
STU0194,41.7,2.5,18.0,20.5,2.4,1,0.36,-0.41,Fail
STU0002,87.8,34.7,51.6,86.30000000000001,16.2,4,4.12,-0.2,Excellent
STU0053,81.4,37.0,51.0,88.0,11.3,3,3.13,0.11,Good
STU0150,59.0,12.5,25.6,38.1,4.6,1,2.57,-0.13,Poor
STU0131,57.5,28.5,43.2,71.7,7.6,3,2.48,-0.12,Average
STU0152,56.5,18.6,27.0,45.6,8.5,2,1.31,-0.64,Poor
STU0104,71.1,18.7,36.1,54.8,10.2,3,2.15,0.09,Average
STU0100,71.8,13.7,31.4,45.099999999999994,8.5,3,1.97,-0.09,Average
STU0117,65.1,27.2,46.0,73.2,8.6,2,2.33,-0.52,Average
STU0088,73.7,24.7,40.4,65.1,10.2,4,2.06,0.57,Average
STU0075,73.3,30.1,38.0,68.1,17.7,4,2.63,0.24,Good
STU0122,85.8,23.0,35.5,58.5,7.3,2,2.58,0.34,Average
STU0200,35.8,7.1,22.0,29.1,1.7,1,1.59,-0.78,Fail
STU0021,91.3,33.1,57.0,90.1,21.4,4,3.62,-0.24,Excellent
STU0189,44.5,19.0,2.1,21.1,1.8,2,1.5,-0.43,Fail
STU0072,69.5,32.6,52.5,85.1,15.9,4,2.82,-0.13,Good
STU0107,73.0,33.5,40.9,74.4,12.0,3,2.97,0.23,Average
STU0015,93.9,35.2,51.4,86.6,19.0,5,4.13,0.23,Excellent
STU0093,76.9,20.4,25.6,46.0,14.4,4,2.34,-0.4,Average
STU0180,57.5,18.4,22.1,40.5,6.4,2,1.44,-0.44,Poor
STU0103,58.0,21.1,39.7,60.800000000000004,10.5,3,2.62,-0.03,Average
